cityname,countyname,name,pop2000,popdes,labdens,averageemployment,empdensavgemparea,medhhinc99,auto_ms,origlinks,orignodes,simplinks,simpnodes,javalinks,javanodes,cycno_u,alpha,beta,gamma,eta,branchness,circuitness,completeness,completeness*103,netwdist,eucldist,cnt_od_pairs,circuity,ent_h,ent_len,ptagefwy,nonlocal_meters,local_meters,totfwy_meters,totrdwy_meters,area_km2,stdens_km2,a10_a19,a20_a29,a30_a39,a40_a49,a50_a59,a60_a69,a70_a75,a_other,l10_a19,l20_l29,l30_l39,l40_l49,l50_l59,l60_l69,l70_l75,l_other,dvmt,centline_mi,avg_veh_mi_pday,dvktpercap,aggtt,no_wrks,avg_tt,spd_ph3_mp,spd_ph3_md,spd_ph3_ap,xcoord,ycoord,cblk_p,cblk_a,avgcblka,p2a,accessibility_mp_pop,accessibility_mp_labor,accessibility_mp_emp,pop_l1n1_p20,pop_l1n1_p30,lab_l1n1_l20,lab_l1n1_l30,emp_l1n1_j20,emp_l1n1_j30,pwa_l1n1_p20,pwa_l1n1_p30,pwa_l1n1_l20,pwa_l1n1_l30,pwa_l1n1_j20,pwa_l1n1_j30,_merge,dtwnmplstaz,mplsxcoord,mplsycoord,dtwnsplstaz,splxcoord,splycoord,dtwnmplsdist,dtwnspldist,dtwnmplsdist_km,dtwnspldist_km,theta (dvkt/simpnodes)
Afton City,Washington,Afton City,2839,42,21.32353,335,4.910676,89095,0.89,358,325,294,261,588,261,34,0.065764,1.126437,0.3783784,0.4899587,0.3594256,0.6405744,0.004332,=X2*1000,74484733,51819968,12450,1.44,0.4,0.54,2.69,13764.8,130283,3881,144048,68,2,3,0,17,274,0,0,0,0,3881,0,9883,130283,0,0,0,0,52718,67,195690,111,39845,1450,27.47931,27.02106,27.02106,27.02106,514410.8,4972322,287.9919,68.21871,0.8745988,4.221597,29916.71,15279.76,3530.151,635100000,2217000000,195200000,682300000,42144621,179000000,223695,780876,128147,447891,120070,508971,3,402,478480,4980091,816,492625,4977029,36761.07,22288.45,36.76107,22.28844,=(BF2*D2)/N2
Andover City,Anoka,Andover City,26588,295,153.3111,3303,36.60199,76241,0.89,1812,1484,1470,1142,2940,1142,329,0.1443616,1.287215,0.4298246,0.2482119,0.1770647,0.8229353,0.001128,=X3*1000,84663718,60392938,12400,1.4,0.02,0.07,0,0,364871.5,0,364872,90,4,0,0,0,1454,0,0,0,16,0,0,0,361786,0,0,0,3085,404927,208,412153,25,420040,13798,30.44209,26.39567,26.39567,26.39567,474383.1,5011560,799.9976,90.24098,0.2074505,8.865126,212477.3,110266.3,26395.84,7452000000,20110000000,2647000000,7453000000,316700000,1430000000,326872,881994,216746,610312,120610,545456,3,402,478480,4980091,816,492625,4977029,31734.57,39053.27,31.73457,39.05327,=(BF3*D3)/N3
Anoka City,Anoka,Anoka City,18076,993,502,13297,730.5751,42659,0.85,970,698,866,594,1732,594,273,0.2307692,1.457912,0.4876126,0.1619584,0.1390972,0.8609028,0.002459,=X4*1000,36558935,26393579,12500,1.39,0.57,0.67,0,12286.54,127969.4,0,140256,18,8,0,52,11,787,0,12,4,0,0,9965,2322,124541,0,2752,676,0,403745,82,399442,36,229630,9036,25.41279,27.11436,27.11436,27.11436,469410.4,5006344,338.3242,18.20073,0.0514145,18.5885,774121.8,386975.3,569456.6,9354000000,26120000000,3473000000,9228000000,2888000000,12900000000,452257,1262973,320366,851095,192332,858725,3,402,478480,4980091,816,492625,4977029,27775.02,37393.3,27.77502,37.3933,=(BF4*D4)/N4
Apple Valley City,Dakota,Apple Valley City,45527,1006,560.5778,11789,260.5437,69752,0.88,2215,1795,2091,1671,4182,1671,421,0.1261612,1.251346,0.4176153,0.1633612,0.2116656,0.7883344,0.000749,=X5*1000,56320095,42430485,12500,1.33,0.36,0.35,0.68,2337.32,339251,2337,341588,45,8,2,0,0,1965,0,10,114,0,2337,0,0,324467,0,2926,11858,0,797497,185,801185,28,601585,25226,23.84782,25.04644,25.04644,25.04644,484130.1,4954711,583.9274,45.24768,0.0979387,12.90513,728754.9,403794.9,188707.6,25740000000,75110000000,10350000000,26010000000,4001000000,13900000000,565375,1649703,394766,991791,330510,1150271,3,402,478480,4980091,816,492625,4977029,26001.79,23880.52,26.00179,23.88052,=(BF5*D5)/N5
Arden Hills City,Ramsey,Arden Hills City,9652,388,186.48,12231,491.1085,64773,0.82,770,613,623,466,1246,466,158,0.1704423,1.33691,0.4475575,0.2579015,0.1565084,0.8434916,0.002875,=X6*1000,53437359,39839265,12500,1.34,0.96,0.98,7.06,18436.51,142236.1,11338,160673,25,6,39,13,12,523,0,31,5,0,11338,3294,3804,133271,0,8557,408,0,916443,55,910276,152,84620,4662,18.15101,28.20453,28.20453,28.20453,486853.1,4990984,228.6519,24.90488,0.1399151,9.181007,348570.7,168362.7,441708.3,14650000000,24490000000,4211000000,6972000000,11830000000,20500000000,1401343,2342739,777700,1287451,905557,1565794,3,402,478480,4980091,816,492625,4977029,13738.82,15101.09,13.73882,15.10109,=(BF6*D6)/N6
Bayport City,Washington,Bayport City,3162,711,210.25,5286,1188.447,53026,0.81,263,200,208,145,416,145,64,0.2245614,1.434483,0.4848485,0.1677622,0.2556535,0.7443465,0.009962,=X7*1000,15696521,11202152,11059,1.4,0.48,0.61,0,4642.19,30252.35,0,34895,4,8,0,0,19,188,0,0,1,0,0,0,4642,30081,0,0,171,0,33364,17,36661,19,15435,841,18.35315,27.45571,27.45571,27.45571,517082.4,4984847,88.89001,4.447822,0.0423602,19.98507,555218.1,147671.9,928173,571100000,2426000000,81947775,342600000,536600000,2420000000,198627,843994,112157,468850,109503,494055,3,402,478480,4980091,816,492625,4977029,38894.29,25676.56,38.89428,25.67656,=(BF7*D7)/N7
Baytown Township,Washington,Baytown Township,1533,64,32.41667,159,6.673131,99362,0.9,145,144,124,123,248,123,2,0.0082988,1.00813,0.3415978,0.3830038,0.600069,0.399931,0.008263,=X8*1000,50776762,31338945,12058,1.62,0.23,0.27,0,1467.34,46025.13,0,47492,24,2,0,0,3,120,0,0,1,0,0,0,1467,45640,0,0,385,0,0,0,39505,41,15730,778,20.21851,26.60314,26.60314,26.60314,514229.5,4983928,143.5146,23.82689,0.4412388,6.023218,35283.1,17906.23,3659.5,614700000,2491000000,189300000,706400000,141200000,644000000,233897,947923,142659,532246,124659,568487,3,402,478480,4980091,816,492625,4977029,35954.86,22679.33,35.95486,22.67933,=(BF8*D8)/N8
Belle Plaine City,Scott,Belle Plaine City,3789,348,165,1436,131.8963,50272,0.86,400,285,364,249,728,249,116,0.2352941,1.461847,0.4912281,0.1629161,0.2566875,0.7433125,0.005895,=X9*1000,21523734,16510155,12400,1.3,0.29,0.39,0,3172.77,56128.68,0,59301,11,5,0,10,0,349,0,0,5,0,0,3173,0,55439,0,0,690,0,60451,29,62807,27,44415,1815,24.47108,26.96665,26.96665,26.96665,439279.3,4941333,152.5734,10.64976,0.0678329,14.32647,302908.5,145098.7,114799.8,165900000,833200000,43013935,265100000,16750440,123000000,43795,219911,22671,139700,11730,85826,3,402,478480,4980091,816,492625,4977029,55126.36,64187.25,55.12635,64.18725,=(BF9*D9)/N9
Belle Plaine Township,Scott,Belle Plaine Township,806,8,3.333333,0,0,51000,0.82,186,165,126,105,252,105,22,0.1073171,1.2,0.407767,1.115361,0.1950395,0.8049605,0.011538,=X10*1000,100942315,65854787,12104,1.53,0.54,0.56,0,15027.34,125508.2,0,140536,102,1,0,3,7,115,0,0,1,0,0,2068,12960,125371,0,0,138,0,0,0,20093,40,8215,340,24.16176,28.72402,28.72402,28.72402,443448,4937027,379.2676,101.7252,1.11786,3.728354,5659.745,2387.485,0,36895456,165100000,9829585,52234179,905905,6037262,45776,204790,23780,126365,11765,78406,3,402,478480,4980091,816,492625,4977029,55513.52,63391.96,55.51352,63.39196,=(BF10*D10)/N10
Benton Township,Carver,Benton Township,939,10,5.011111,271,2.996858,62574,0.77,312,296,234,218,468,218,17,0.0394432,1.073395,0.3611111,0.6125904,0.3579702,0.6420298,0.004947,=X11*1000,84995844,60095975,11424,1.41,1.2,0.97,0,9058.59,134287.5,0,143346,90,2,0,14,0,143,0,0,77,0,0,9059,0,110692,0,0,23596,0,0,0,81493,140,10870,451,24.102,29.36596,29.36596,29.36596,434363.8,4956657,397.6055,90.42804,0.7176828,4.396927,9106.131,4373.658,2628.074,177200000,549500000,56611959,195300000,18999360,57400000,90844,281655,52544,181284,32985,99609,3,402,478480,4980091,816,492625,4977029,49954.09,61720.35,49.95409,61.72035,=(BF11*D11)/N11
Bethel City,Anoka,Bethel City,443,177,59.33333,247,98.57632,45125,0.86,42,37,36,31,72,31,6,0.1052632,1.16129,0.4137931,0.222189,0.6261001,0.3738999,0.03871,=X12*1000,11207232,8070905,12500,1.39,0,0,0,0,7998.81,0,7999,3,3,0,0,0,36,0,0,0,0,0,0,0,7999,0,0,0,0,3941,4,3942,14,5815,178,32.66854,27.43398,27.43398,27.43398,478814.4,5027733,22.52332,2.505673,0.1566045,8.988932,140375.8,56403.82,78268.23,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,47643.17,52551.2,47.64317,52.5512,=(BF12*D12)/N12
Birchwood Village City,Washington,Birchwood Village City,968,1104,486,24,27.37228,81941,0.86,67,55,62,50,124,50,13,0.1368421,1.24,0.4305556,0.1395922,0.248531,0.751469,0.025306,=X13*1000,9858686,7723329,12500,1.28,0,0,0,0,8654.72,0,8655,1,10,0,0,0,62,0,0,0,0,0,0,0,8655,0,0,0,0,3799,4,3763,6,12480,486,25.67901,26.21056,26.21056,26.21056,501738.7,4989596,18.85377,0.8767993,0.0626285,21.50295,946861.3,475386.9,23475.9,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,25125.7,15523.39,25.1257,15.52339,=(BF13*D13)/N13
Blaine City,Anoka,Blaine City,44942,510,283.2841,17419,197.7543,59219,0.87,2702,2116,2205,1619,4410,1619,587,0.1815651,1.361952,0.4545455,0.2013153,0.1914283,0.8085717,0.000842,=X14*1000,94647347,68041603,12500,1.39,0.29,0.45,2.68,23470.11,420430.1,11903,443900,88,5,29,35,0,2122,0,18,1,0,11903,11567,0,415183,0,5027,220,0,1224011,226,1249883,45,661835,24929,26.5488,26.37129,26.37129,26.37129,483676.3,5001808,906.4039,88.08407,0.1135104,10.29021,373024.7,206914.1,144580.1,27940000000,72990000000,10790000000,25630000000,7653000000,21100000000,625268,1633503,423273,1005871,408800,1126480,3,402,478480,4980091,816,492625,4977029,22330.02,26345.36,22.33002,26.34536,=(BF14*D14)/N14
