,,ent_len,ptagefwy,alpha,beta,gamma,circuity,branch~s,eta,theta,stdens~2
,,Entropy,Percentage of freeways,Alpha,Beta,Gamma,Circuity,Arterial Treeness,Eta,Theta,Street density
ent_len,Entropy,1,,,,,,,,,
ptagefwy,Percentage of freeways,0.3025,1,,,,,,,,
alpha,Alpha,-0.097,0.1765,1,,,,,,,
beta,Beta,-0.0807,0.193,0.9913,1,,,,,,
gamma,Gamma,-0.1077,0.1643,0.9955,0.9747,1,,,,,
circuity,Circuity,0.043,-0.0127,-0.5027,-0.476,-0.5208,1,,,,
branchness,Arterial Treeness,-0.0254,-0.1966,-0.7281,-0.7744,-0.6846,0.3395,1,,,
eta,Eta,0.1596,-0.1943,-0.3894,-0.3877,-0.3889,0.1562,0.08,1,,
theta,Theta,0.4197,0.5226,0.1065,0.1042,0.1076,-0.0214,-0.1974,0.1869,1,
stdens_km2,Street density,-0.1258,0.2423,0.6919,0.6708,0.6965,-0.2882,-0.4098,-0.6299,-0.1029,1
,,,,,,,,,,,
