,,,"Avg TT to Work, 2010",,,,"LN(Average Travel Time to Work, 2010)",,,,,,,,,,,,,,,
,,INDEPENDENT VARIABLES,LINEAR MODEL,,,,LOG LINEAR MODEL,,,,FACTOR ANALYSIS BY CATEGORY*,,,,FACTOR ANALYSIS WO CATEGORY **,,,,LOG MODEL,,,
,,,Coef.,Sig,t-stats,Beta,Coef.,Sig,t-stats,Beta,Coef.,Sig,t-stats,Beta,Coef.,Sig,t-stats,Beta,Coef.,Sig,t-stats,Beta
,pwa_l1ni_j~1,"PW auto access to jobs, 30 mins",-4.535,***,-7.92,-0.653,-0.175,***,-8.214,-0.653,-0.192,***,-6.823,-0.714,-0.215,***,-7.437,-0.801,-0.152,***,-4.229,-0.514
,pwa_emp_t_~1,"PW transit access to jobs, 30 mins",-1.431,,-0.749,-0.03,-0.078,,-0.961,-0.042,-0.077,,-0.907,-0.041,-0.099,,-1.081,-0.053,-0.012,**,-1.997,-0.187
,medhhinc_2~1,Median HH income,5.102,,0.565,0.031,0.308,,0.877,0.048,0.769,*,1.96,0.121,0.947,**,2.435,0.149,-0.06,*,-1.931,-0.17
,area_km2,MCD size (km2),0.017,**,2.44,0.166,0.001,**,2.528,0.165,0.001,***,3.228,0.209,0.001,***,3.945,0.264,0.029,*,1.734,0.301
,ent_len,Entropy,-2.633,***,-3.926,-0.203,-0.102,***,-4.132,-0.203,,,,,,,,,-0.044,***,-3.922,-0.276
,completeness,Completeness,-79.232,**,-2.489,-0.153,-3.207,***,-2.615,-0.16,,,,,,,,,-0.008,,-0.492,-0.083
,circuity,Circuity,2.973,*,1.967,0.109,0.121,**,2.181,0.115,,,,,,,,,0.167,*,1.993,0.142
,Hierarchy,Hierarchy factor,,,,,,,,,-0.015,*,-1.726,-0.098,,,,,,,,
,TopologyA,Topology A factor,,,,,,,,,0.014,,1.376,0.095,,,,,,,,
,TopologyB,Topology B factor,,,,,,,,,-0.048,**,-2.433,-0.154,,,,,,,,
,Scale,Scale Factor,,,,,,,,,-0.028,*,-1.835,-0.171,,,,,,,,
,Factor1,Factor1,,,,,,,,,,,,,-0.0001232,,-0.012,-0.001,,,,
,Factor2,Factor2,,,,,,,,,,,,,0.047,***,2.923,0.294,,,,
,Factor3,Factor3,,,,,,,,,,,,,-0.009,,-1.079,-0.058,,,,
,Factor4,Factor4,,,,,,,,,,,,,-0.036,*,-1.763,-0.109,,,,
,,Constant,25.36,***,9.949,,3.207,***,34.482,,3.26,***,78.751,,3.259,***,77.836,,2.719,***,23.7,
,,N. of cases,145,,,,145,,,,145,,,,145,,,,75,,,
,,R-squared,0.651,,,,0.674,,,,0.659,,,,0.664,,,,0.723,,,
,,Adj.,0.633,,,,0.657,,,,0.639,,,,0.644,,,,0.694,,,
,,"* p<.10, ** p<0.05, *** p<.01",,,,,,,,,,,,,,,,,,,,
,,Factor 1 - Mainly made of circuity,,,,,,,,,"* - Factor analysis done separately for each category (Hierarchy, Topology, Scale)",,,,,,,,,,,
,,Factor 2 - Mainly made of eta and streetdens,,,,,,,,,"** - Factor analysis done for all network measures without considering  category (Hierarchy, Topology, Scale)",,,,,,,,,,,
,,"Factor 3 - Mainly made of  theta, entropy and percentage freeways ",,,,,,,,,,,,,,,,,,,,
,,Factor 4 - Mainly made of completeness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,HIERARCHY - MADE OF ENTROPY AND PERCENTAGE FREEWAYS,,,,,,,,,,,,,,,,,,,,
,,"TOPOLOGY A - mainly made of circuity, alpha",,,,,,,,,,,,,,,,,,,,
,,TOPOLOGY B - mainly made of completeness,,,,,,,,,,,,,,,,,,,,
,,SCALE - made up of eta and street density,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
